Layer,Channel_Index,L1_Score,GRA_Score
layer2.0.conv2,22,0.6965181,0.6755956162309865
layer2.0.conv2,23,0.3850833,0.3776622797818775
layer2.0.conv2,24,0.59726226,0.589589209108419
layer2.0.conv2,25,0.40747026,0.8242517433104833
layer2.0.conv2,26,0.5166191,0.19821320572780957
layer2.0.conv2,27,0.68313456,0.6527812294142328
layer2.0.conv2,28,0.75648385,0.6314261971184325
layer2.0.conv2,29,0.8708387,0.46074107442397444
layer2.0.conv2,30,0.063121155,0.7109959577617274
layer2.0.conv2,31,0.31676498,0.6807555635804475
layer2.0.downsample.0,0,0.3131973,0.9999999453231292
layer2.0.downsample.0,1,0.007857063,0.46479630365369917
layer2.0.downsample.0,2,0.37972224,0.7048874772243477
layer2.0.downsample.0,3,0.5798492,0.7035675840612127
layer2.0.downsample.0,4,1.0,0.6124232579046702
layer2.0.downsample.0,5,0.51770306,0.5769745124378721
layer2.0.downsample.0,6,0.7159109,0.676450134599942
layer2.0.downsample.0,7,0.35128528,0.5504332533747305
layer2.0.downsample.0,8,0.24881168,0.6149196484305011
layer2.0.downsample.0,9,0.16298024,0.850257577116131
layer2.0.downsample.0,10,0.39029023,0.03953422218113438
layer2.0.downsample.0,11,0.11572164,0.44494217738422903
layer2.0.downsample.0,12,0.54332745,0.4549055783183936
layer2.0.downsample.0,13,0.18466678,0.6882138046287135
layer2.0.downsample.0,14,0.29517946,0.7876600958316027
layer2.0.downsample.0,15,0.6606942,0.708980123728706
layer2.0.downsample.0,16,0.27817053,0.5051671099705787
layer2.0.downsample.0,17,0.27368882,0.7658065758446426
layer2.0.downsample.0,18,0.32511696,0.8179270385097962
layer2.0.downsample.0,19,0.48327705,0.6327756845806672
layer2.0.downsample.0,20,0.3110679,0.7421736443340485
layer2.0.downsample.0,21,0.2471717,0.8626388267854312
layer2.0.downsample.0,22,0.29994908,0.6354819544144139
layer2.0.downsample.0,23,0.6066801,0.7275117496386694
layer2.0.downsample.0,24,0.0,0.7936775050573129
layer2.0.downsample.0,25,0.13071321,0.0
layer2.0.downsample.0,26,0.38841915,0.8033019704631663
layer2.0.downsample.0,27,0.41612685,0.8948536710527751
layer2.0.downsample.0,28,0.24105236,0.7612606030711682
layer2.0.downsample.0,29,0.36741322,0.92916796019837
layer2.0.downsample.0,30,0.26115596,0.9532046812470194
layer2.0.downsample.0,31,0.46282908,0.4732175479340477
layer2.1.conv1,0,0.7376353,0.7623540999163128
layer2.1.conv1,1,0.3663339,0.7665558688207176
layer2.1.conv1,2,0.46535188,0.8185362717789112
layer2.1.conv1,3,0.21488479,0.7366555065088083
layer2.1.conv1,4,0.21377589,0.6656105937718382
layer2.1.conv1,5,0.6748475,0.7263695796020168
layer2.1.conv1,6,0.1304915,0.04603109261897111
layer2.1.conv1,7,0.59175426,0.5957055651875524
layer2.1.conv1,8,0.8341341,0.7171763401658021
layer2.1.conv1,9,0.64804256,0.6699269831899325
layer2.1.conv1,10,0.7559013,0.7269494245536225
layer2.1.conv1,11,0.37702826,0.6921865397878042
layer2.1.conv1,12,0.061027143,0.1731604126627458
layer2.1.conv1,13,0.25866786,0.7235386214734648
layer2.1.conv1,14,0.31814125,0.5140447701679859
layer2.1.conv1,15,0.35975766,0.869147970955989
layer2.1.conv1,16,0.08423158,0.8512574786446352
layer2.1.conv1,17,0.14659718,0.7116589637476521
layer2.1.conv1,18,0.26594013,0.27199110779363267
layer2.1.conv1,19,0.7931395,0.8162038286051191
layer2.1.conv1,20,0.33885163,0.491312403951145
layer2.1.conv1,21,0.61107856,0.7065857418200491
layer2.1.conv1,22,0.06786343,0.9690132005027131
layer2.1.conv1,23,1.0,0.8134154317702533
layer2.1.conv1,24,0.20630798,0.9002729186090075
layer2.1.conv1,25,0.9156613,0.6918304576772614
layer2.1.conv1,26,0.40567988,0.7332779939454942
layer2.1.conv1,27,0.18416429,0.0
layer2.1.conv1,28,0.0,0.7758670999622008
layer2.1.conv1,29,0.6803689,0.9999999293009885
layer2.1.conv1,30,0.3600162,0.8065698058699367
layer2.1.conv1,31,0.10154101,0.6966154427248511
layer2.1.conv2,0,0.27062455,0.8063886270889642
layer2.1.conv2,1,0.118199624,0.612218643462407
layer2.1.conv2,2,0.33565727,0.7291564705446777
layer2.1.conv2,3,0.5663234,0.797012082614873
layer2.1.conv2,4,0.65318894,0.918432614127473
layer2.1.conv2,5,0.69769007,0.7133816280865422
layer2.1.conv2,6,0.47402513,0.7245158601983022
layer2.1.conv2,7,0.6238991,0.843211789369465
layer2.1.conv2,8,0.2975089,0.17862184598752215
layer2.1.conv2,9,0.32216522,0.0
layer2.1.conv2,10,0.6203121,0.7322573945967971
layer2.1.conv2,11,0.37152722,0.8217224934455953
layer2.1.conv2,12,0.0,0.6439196030751526
layer2.1.conv2,13,0.79777145,0.6756425286027289
layer2.1.conv2,14,0.46391895,0.7115916132534622
layer2.1.conv2,15,0.11192304,0.814160416426754
layer2.1.conv2,16,0.81122255,0.4284679635875581
layer2.1.conv2,17,0.23748307,0.802035231440279
layer2.1.conv2,18,0.7074229,0.8086142301576466
layer2.1.conv2,19,0.59023356,0.9602184153547899
layer2.1.conv2,20,0.19496319,0.6904939737355339
layer2.1.conv2,21,0.59663826,0.8591548990242271
layer2.1.conv2,22,1.0,0.9415639657977336
layer2.1.conv2,23,0.27470672,0.8891852057561798
layer2.1.conv2,24,0.01613596,0.7060802408871051
layer2.1.conv2,25,0.40911844,0.48452124817416553
layer2.1.conv2,26,0.4396297,0.8372855513286663
layer2.1.conv2,27,0.18298607,0.999999930466623
layer2.1.conv2,28,0.34664142,0.7792105736752
layer2.1.conv2,29,0.44847876,0.5676804716616972
layer2.1.conv2,30,0.41961217,0.7304922468371102
layer2.1.conv2,31,0.560928,0.7940574598445497
layer2.2.conv1,0,0.55351436,0.7711435396260942
layer2.2.conv1,1,0.8352004,0.6705948698584058
layer2.2.conv1,2,1.0,0.9562520880627858
layer2.2.conv1,3,0.72904044,0.8770127083016065
layer2.2.conv1,4,0.87898093,0.9943048903802684
layer2.2.conv1,5,0.6497304,0.6873256871111407
layer2.2.conv1,6,0.6726593,0.6875757797584424
layer2.2.conv1,7,0.6480703,0.8606855939008611
layer2.2.conv1,8,0.639954,0.4799633363349835
layer2.2.conv1,9,0.5786473,0.8952320211328247
layer2.2.conv1,10,0.42647138,0.5437966281706325
layer2.2.conv1,11,0.0,0.54834336327881
layer2.2.conv1,12,0.15360634,0.7287953643535597
layer2.2.conv1,13,0.6329095,0.6203846450186669
layer2.2.conv1,14,0.8551829,0.9999998935061329
layer2.2.conv1,15,0.17757407,0.6844946891239188
layer2.2.conv1,16,0.6664396,0.15557159118570468
layer2.2.conv1,17,0.44792023,0.9097392989350577
layer2.2.conv1,18,0.555957,0.8838756567854281
layer2.2.conv1,19,0.3920298,0.9339741651126667
layer2.2.conv1,20,0.44761953,0.5488860770185128
layer2.2.conv1,21,0.23997864,0.8387434552411547
layer2.2.conv1,22,0.65055573,0.625542012428124
layer2.2.conv1,23,0.24367213,0.7520946047389793
layer2.2.conv1,24,0.6908881,0.6820705677532459
layer2.2.conv1,25,0.18821602,0.7108534385448563
layer2.2.conv1,26,0.58158123,0.9606229966143577
