architecture,dataset,method,role,nominal_ratio,actual_ratio,seed,baseline_acc,pruned_acc,final_acc,flops_before,flops_after,flops_reduction_pct,params_before,params_after,iso_flops_target,iso_flops_actual,iso_flops_ratio,iso_flops_error_pct,score_time_s,total_time_s,epochs,timestamp
resnet56,cifar100,GRA-CHIP-v3,matched,0.9,0.9008,8192,72.56,1.0,50.9,251507200.0,27521536.0,89.06,861620.0,92714.0,27521536.0,27521536.0,1.0,0.0,43.28,511.5,30,2026-02-28T09:32:32.072734
resnet56,cifar100,GRA-CHIP-v3,matched,0.9,0.9008,16384,72.56,1.0,50.56,251507200.0,27521536.0,89.06,861620.0,92714.0,27521536.0,27521536.0,1.0,0.0,41.24,477.9,30,2026-02-28T10:03:27.361114
resnet56,cifar100,GRA-CHIP-v3,matched,0.9,0.9008,32768,72.56,1.0,51.11,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,40.44,474.3,30,2026-02-28T10:33:55.885467
resnet56,cifar100,GRA-CNN,matched,0.9,0.9008,42,72.56,1.0,51.13,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,15.11,324.2,30,2026-03-02T14:16:42.837877
resnet56,cifar100,GRA-CNN,matched,0.9,0.9008,123,72.56,1.0,50.69,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,27.68,470.9,30,2026-03-02T14:03:48.853376
resnet56,cifar100,GRA-CNN,matched,0.9,0.9008,456,72.56,1.0,51.43,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,14.01,314.2,30,2026-03-02T15:52:30.093315
resnet56,cifar100,L1,matched,0.9,0.9008,42,72.56,1.01,50.37,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,0.01,458.9,30,2026-03-02T02:34:41.838408
resnet56,cifar100,L1,matched,0.9,0.9008,123,72.56,1.01,50.57,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,0.01,442.6,30,2026-03-02T03:31:32.280216
resnet56,cifar100,L1,matched,0.9,0.9008,456,72.56,1.01,50.48,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,0.0,443.4,30,2026-03-02T04:28:23.108457
resnet56,cifar100,L1,matched,0.9,0.9008,789,72.56,1.01,50.35,251507200,27521536,89.06,861620,92714,27521536,27521536,1.0,0.0,0.01,444.1,30,2026-03-02T05:25:19.427458
