architecture,dataset,ratio,method,seed,status,final_acc,compression_ratio,source_file,raw_method
resnet56,cifar100,0.6,FPGM,42,done,68.1800,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.6_s42.json,FPGM
resnet56,cifar100,0.6,FPGM,123,done,67.9400,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.6_s123.json,FPGM
resnet56,cifar100,0.6,FPGM,456,done,68.0400,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.6_s456.json,FPGM
resnet56,cifar100,0.6,FPGM,789,done,67.9900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.6_s789.json,FPGM
resnet56,cifar100,0.6,FPGM,1024,done,67.9600,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.6_s1024.json,FPGM
resnet56,cifar100,0.6,HRank,42,done,66.8100,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.6_s42.json,HRank
resnet56,cifar100,0.6,HRank,123,done,66.5900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.6_s123.json,HRank
resnet56,cifar100,0.6,HRank,456,done,66.8200,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.6_s456.json,HRank
resnet56,cifar100,0.6,HRank,789,done,66.7800,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.6_s789.json,HRank
resnet56,cifar100,0.6,HRank,1024,done,66.7300,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.6_s1024.json,HRank
resnet56,cifar100,0.7,GRA-CNN,42,done,67.8700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.7_s42.json,GRA-CHIP-v3
resnet56,cifar100,0.7,GRA-CNN,123,done,67.7200,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.7_s123.json,GRA-CHIP-v3
resnet56,cifar100,0.7,GRA-CNN,456,done,67.9700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.7_s456.json,GRA-CHIP-v3
resnet56,cifar100,0.7,GRA-CNN,789,done,67.5200,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.7_s789.json,GRA-CHIP-v3
resnet56,cifar100,0.7,GRA-CNN,1024,done,67.7200,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.7_s1024.json,GRA-CHIP-v3
resnet56,cifar100,0.7,CHIP,42,done,67.2400,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.7_s42.json,CHIP
resnet56,cifar100,0.7,CHIP,123,done,67.3500,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.7_s123.json,CHIP
